TSE COD,TSE MUNICIPIO,IBGE COD,IBGE MUNICIPIO
61000,EUCLIDES DA CUNHA PAULISTA,3515350,Euclides da Cunha Paulista
61018,ADAMANTINA,3500105,Adamantina
61026,BOREBI,3507456,Borebi
61034,ADOLFO,3500204,Adolfo
61042,TARUMÃ,3553955,Tarumã
61050,AGUAÍ,3500303,Aguaí
61069,MOTUCA,3532058,Motuca
61077,ÁGUAS DA PRATA,3500402,Águas da Prata
61085,IARAS,3519253,Iaras
61093,ÁGUAS DE LINDÓIA,3500501,Águas de Lindóia
61107,GUATAPARÁ,3518859,Guatapará
61115,ÁGUAS DE SÃO PEDRO,3500600,Águas de São Pedro
61123,DIRCE REIS,3513850,Dirce Reis
61131,AGUDOS,3500709,Agudos
61140,ESPÍRITO SANTO DO TURVO,3515194,Espírito Santo do Turvo
61158,ALFREDO MARCONDES,3500808,Alfredo Marcondes
61166,ROSANA,3544251,Rosana
61174,ALTAIR,3500907,Altair
61182,EMBAÚBA,3514957,Embaúba
61190,ALTINÓPOLIS,3501004,Altinópolis
61204,ILHA SOLTEIRA,3520301,Iguape
61212,ALTO ALEGRE,3501103,Alto Alegre
61220,ALUMÍNIO,3501152,Alumínio
61239,ÁLVARES FLORENCE,3501202,Álvares Florence
61247,PEDRINHAS PAULISTA,3537156,Pedrinhas Paulista
61255,ÁLVARES MACHADO,3501301,Álvares Machado
61263,ARAÇARIGUAMA,3502754,Araçariguama
61271,ÁLVARO DE CARVALHO,3501400,Álvaro de Carvalho
61280,BERTIOGA,3506359,Bertioga
61298,ALVINLÂNDIA,3501509,Alvinlândia
61301,SUZANÁPOLIS,3552403,Sumaré
61310,AMERICANA,3501608,Americana
61328,SANTO ANTÔNIO DO ARACANGUÁ,3548054,Santo Antônio do Aracanguá
61336,AMÉRICO BRASILIENSE,3501707,Américo Brasiliense
61344,CANITAR,3510153,Canitar
61352,AMÉRICO DE CAMPOS,3501806,Américo de Campos
61360,BARRA DO CHAPÉU,3505351,Barra do Chapéu
61379,AMPARO,3501905,Amparo
61387,EMILIANÓPOLIS,3515129,Emilianópolis
61395,ANALÂNDIA,3502002,Analândia
61409,NOVAIS,3533403,Nova Odessa
61417,ANDRADINA,3502101,Andradina
61425,NOVA CANAÃ PAULISTA,3532843,Nova Canaã Paulista
61433,ANGATUBA,3502200,Angatuba
61441,SALTINHO,3545159,Saltinho
61450,ANHEMBI,3502309,Anhembi
61468,UBARANA,3555356,Ubarana
61476,ANHUMAS,3502408,Anhumas
61484,CAJATI,3509254,Cajati
61492,APARECIDA,3502507,Aparecida
61506,CAMPINA DO MONTE ALEGRE,3509452,Campina do Monte Alegre
61514,APARECIDA D'OESTE,3502606,Aparecida dOeste
61522,ASPÁSIA,3503950,Aspásia
61530,APIAÍ,3502705,Apiaí
61549,VARGEM,3556354,Vargem
61557,ARAÇATUBA,3502804,Araçatuba
61565,POTIM,3540754,Potim
61573,ARAÇOIABA DA SERRA,3502903,Araçoiaba da Serra
61581,ALAMBARI,3500758,Alambari
61590,ARAMINA,3503000,Aramina
61603,ITAOCA,3522158,Itaoca
61611,ARANDU,3503109,Arandu
61620,TUIUTI,3554953,Tuiuti
61638,ARARAQUARA,3503208,Araraquara
61646,ARAPEÍ,3503158,Arapeí
61654,ARARAS,3503307,Araras
61662,ESTIVA GERBI,3557303,Estiva Gerbi
61670,AREALVA,3503406,Arealva
61689,ENGENHEIRO COELHO,3515152,Engenheiro Coelho
61697,AREIAS,3503505,Areias
61700,RIBEIRÃO GRANDE,3543253,Ribeirão Grande
61719,AREIÓPOLIS,3503604,Areiópolis
61727,HORTOLÂNDIA,3519071,Hortolândia
61735,ARIRANHA,3503703,Ariranha
61743,HOLAMBRA,3519055,Holambra
61751,ARTUR NOGUEIRA,3503802,Artur Nogueira
61760,ELISIÁRIO,3514924,Elisiário
61778,ARUJÁ,3503901,Arujá
61786,BOM SUCESSO DE ITARARÉ,3507159,Bom Sucesso de Itararé
61794,ASSIS,3504008,Assis
61808,PONTALINDA,3540259,Pontalinda
61816,ATIBAIA,3504107,Atibaia
61824,PARISI,3536257,Parisi
61832,AURIFLAMA,3504206,Auriflama
61840,TAQUARIVAÍ,3553856,Taquarivaí
61859,AVAÍ,3504305,Avaí
61867,MARAPOAMA,3528858,Marapoama
61875,AVANHANDAVA,3504404,Avanhandava
61883,SÃO JOÃO DE IRACEMA,3549250,São João de Iracema
61891,AVARÉ,3504503,Avaré
61905,SÃO LOURENÇO DA SERRA,3549953,São Lourenço da Serra
61913,BADY BASSITT,3504602,Bady Bassitt
61921,ZACARIAS,3557154,Zacarias
61930,BALBINOS,3504701,Balbinos
61948,ITAPIRAPUÃ PAULISTA,3522653,Itapirapuã Paulista
61956,BÁLSAMO,3504800,Bálsamo
61964,MESÓPOLIS,3529658,Mesópolis
61972,BANANAL,3504909,Bananal
61980,NOVA CAMPINA,3532827,Nova Campina
61999,BARBOSA,3505104,Barbosa
62006,ILHA COMPRIDA,3520426,Ilha Comprida
62014,BARÃO DE ANTONINA,3505005,Barão de Antonina
62022,LOURDES,3527256,Lourdes
62030,BARIRI,3505203,Bariri
62049,TORRE DE PEDRA,3554656,Torre de Pedra
62057,BARRA BONITA,3505302,Barra Bonita
62065,ARCO-ÍRIS,3503356,Arco-Íris
62073,BARRA DO TURVO,3505401,Barra do Turvo
62081,BREJO ALEGRE,3507753,Brejo Alegre
62090,BARRETOS,3505500,Barretos
62103,CANAS,3509957,Canas
62111,BARRINHA,3505609,Barrinha
62120,PRACINHA,3540853,Pracinha
62138,BARUERI,3505708,Barueri
62146,PRATÂNIA,3541059,Pratânia
62154,BASTOS,3505807,Bastos
62162,QUADRA,3541653,Quadra
62170,BATATAIS,3505906,Batatais
62189,SANTA CRUZ DA ESPERANÇA,3546256,Santa Cruz da Esperança
62197,BAURU,3506003,Bauru
62200,SANTA SALETE,3547650,Santa Salete
62219,BEBEDOURO,3506102,Bebedouro
62227,VITÓRIA BRASIL,3556958,Vitória Brasil
62235,BENTO DE ABREU,3506201,Bento de Abreu
62243,IPIGUÁ,3521150,Ipiguá
62251,BERNARDINO DE CAMPOS,3506300,Bernardino de Campos
62260,TAQUARAL,3553658,Taquaral
62278,BILAC,3506409,Bilac
62286,FERNÃO,3515657,Fernão
62294,BIRIGUI,3506508,Birigui
62308,GAVIÃO PEIXOTO,3516853,Gavião Peixoto
62316,BIRITIBA MIRIM,3506607,Biritiba Mirim
62324,JUMIRIM,3525854,Jumirim
62332,BOA ESPERANÇA DO SUL,3506706,Boa Esperança do Sul
62340,NANTES,3532157,Nantes
62359,BOCAINA,3506805,Bocaina
62367,NOVA CASTILHO,3532868,Nova Castilho
62375,BOFETE,3506904,Bofete
62383,OUROESTE,3534757,Ouroeste
62391,BOITUVA,3507001,Boituva
